DOSE,HCC1143,HCC1937,MDAMB468,HDQP1,HCC1806,MDAMB436,HS578T,CAL51,BT549,CAL120,4T1,E0771,CAL148,MDAMB231
0.625,1.149021111,1.205372127,1.116716822,0.991026871,1.026228175,0.900046517,0.960573982,1.003306797,1.056578895,1.055367354,0.970058653,1.034770421,1.0267075,1.151343447
1.25,1.126680396,1.181611124,1.21954248,0.926703188,1.082701914,0.891411792,1.035023314,1.098101653,0.938122827,1.257567956,1.014878417,1.02955594,1.008694637,1.451357156
2.5,1.069192185,1.148217283,1.127503816,0.927605377,1.091811407,0.887748575,0.946731246,0.990569504,0.90674072,1.095856256,0.948655202,1.015383802,1.023928067,1.391518918
5,1.13400872,1.220681919,1.10740431,0.76338248,1.151304585,0.813175951,0.865658026,1.06503368,0.779174492,1.107198027,0.947598449,0.974966162,0.853278009,1.121527143
10,0.959694218,1.113924376,1.029722435,0.713688899,1.006806531,0.760320968,0.765070117,0.846172688,0.637919047,0.980487276,0.96448973,1.078238856,0.731927252,1.027348748
20,0.781822278,0.87194746,0.856664913,0.646780565,0.886310456,0.550340156,0.594237261,0.72357624,0.507955408,0.753773815,0.814749445,1.095115601,0.663456989,0.858938037
0.625,1.162620453,1.206198944,1.100061253,1.137918008,1.06357631,0.878943294,0.943958406,0.969472148,1.108076729,1.030243032,1.042291899,1.038842763,1.058091304,1.12639943
1.25,1.179601045,1.287779382,1.118638664,1.104996742,1.14825527,1.027371506,0.955667323,1.048649964,0.975195097,1.123230943,1.054587845,1.021982799,1.079230926,1.502993612
2.5,1.137095941,1.28490104,1.122490078,1.117150979,1.141253581,0.907061296,0.905946848,1.078448066,0.876622353,1.100266317,1.06604582,1.046213593,1.079799705,1.356562577
5,1.090765735,1.187804967,1.070458226,1.018670495,1.22588375,0.817357406,0.881171457,0.99282413,0.845025336,1.012799955,1.042001174,1.021550492,0.992966099,1.166262325
10,0.984520849,1.15521117,1.034285139,0.870949768,1.022395646,0.750048384,0.758100553,0.922160058,0.648427198,1.032250868,0.986182024,1.063073557,0.825384821,1.107770037
20,0.797376846,0.898161516,0.815811776,0.836385271,0.919712343,0.567032542,0.541570428,0.603137923,0.54303746,0.73484014,0.834030376,1.090265653,0.703286911,0.913663781
0.625,1.123317721,1.155747699,1.055343546,0.984177269,1.060927005,0.851537359,0.942554769,1.098086735,0.998801155,0.981656363,1.062754051,1.008647286,1.035481187,1.081014892
1.25,1.137759019,1.326964065,1.16863504,1.033964091,0.977005809,0.889018091,1.025943008,1.059311224,1.038852371,1.066189959,1.118786941,1.034767643,1.030995263,1.422746828
2.5,1.101710613,1.223681394,1.148776474,1.068386812,1.055759284,0.876605641,1.020615426,1.010331633,0.981894991,1.11908078,1.104665538,1.086036528,0.992388058,1.307975731
5,1.071475287,1.19352587,1.129894558,0.916172649,1.048355111,0.791422159,0.88955691,0.903954082,0.855991779,0.967745771,1.117097944,1.054521534,0.931792761,1.159646994
10,0.954701851,1.170713774,1.065110054,0.876577602,1.009314927,0.687741691,0.79908067,0.870790816,0.702466196,0.927848359,1.043687545,1.016243411,0.785805955,1.045868726
20,0.808716776,0.92572806,0.830713859,0.7070629,0.92984492,0.562278591,0.641523225,0.614158163,0.564574532,0.866702901,0.930524788,1.050911888,0.645523691,0.884633205