DOSE,HCC1143,HCC1937,MDAMB468,HDQP1,HCC1806,MDAMB436,HS578T,CAL51,BT549,CAL120,4T1,E0771,MDAMB231,CAL148
0.625,1.146895073,1.187000741,1.236452007,1.136469593,1.055594971,0.944795027,0.992528059,1.011778739,1.043736188,1.147650851,1.034818795,1.018192465,1.044333017,1.128563531
1.25,1.126117035,1.260395604,1.271010378,1.193502435,1.17886963,0.826650027,1.103945101,1.047860444,1.155710913,1.31603565,1.032567975,1.039229571,1.194230302,1.165622769
2.5,1.214741727,1.398025987,1.283560523,1.19269952,1.263779274,0.744001507,1.030029636,1.049202326,1.096900234,1.247341354,1.059669676,1.088911539,1.120673279,1.185429636
5,1.214282349,1.301537568,1.302021968,1.194046345,1.262275281,0.783524453,0.997209845,1.115252721,0.965086674,1.153305564,1.037498341,1.122121058,1.03518809,1.142536999
10,1.16127715,1.287483233,1.227812415,1.230747315,1.190875189,0.796451529,0.968551642,1.019233636,0.864606878,1.113932004,1.037023679,1.090278731,0.970974796,1.103628611
20,1.055443438,1.150753769,1.032284793,1.060684809,1.088207874,0.626280346,0.934076674,0.84016699,0.791503164,0.899681195,1.009370757,1.319217124,0.847915884,0.958651498
0.625,1.10245732,0.960882268,1.10017893,1.049439202,1.216726423,0.846989154,0.886441412,1.169513168,0.950071233,1.035276423,1.037646209,1.012205987,1.035004506,0.960508723
1.25,1.187095976,1.083645939,1.30359946,1.116684576,1.24078509,0.904251597,0.969672018,1.11763767,1.233140909,1.054760494,1.072720611,1.031216342,1.30650287,1.010045871
2.5,1.179146701,1.14681323,1.263784757,1.229364653,1.412246495,0.874279198,0.930005759,1.106304868,1.131504616,1.159974477,1.095677541,1.043275773,1.187402172,1.082709821
5,1.239476705,1.134910186,1.276035435,1.121772054,1.407732395,0.830428529,0.89299534,1.120031923,0.935668229,1.084089148,1.050552579,1.083997292,1.062965422,1.016595211
10,1.227379982,1.166399149,1.275047477,1.102832533,1.26018084,0.793458683,0.823472297,1.042458101,0.815305559,0.980721025,1.042521598,1.116427952,1.04247498,0.949273676
20,1.132718328,1.073555403,0.970262467,1.004533396,1.20722697,0.62073836,0.828184272,0.88858739,0.659886522,0.900323595,0.916771269,1.132193146,0.836503344,0.808152262
0.625,1.210218978,1.242629579,1.359692945,1.14069422,1.216726423,0.985366228,0.904317598,1.125623664,0.939504943,1.036117161,1.099130964,1.027354577,1.13756407,1.037757407
1.25,1.235243122,1.172379462,1.44161082,1.066263988,1.24078509,0.918765284,0.985508483,1.18406985,1.167561704,1.039200333,1.128919008,1.02649437,1.299744869,1.051159017
2.5,1.24983717,1.206331146,1.392262703,1.168875763,1.412246495,0.916921659,0.90033483,1.154846757,1.175937122,1.005505665,1.089112492,1.070515455,1.239547659,1.092232286
5,1.288202134,1.235589329,1.434921409,1.201327237,1.407732395,0.821514077,0.961275979,1.160014255,1.001360339,1.061443218,1.084771679,1.070364919,1.172110235,1.074784535
10,1.282542392,1.257411057,1.349275009,1.198071415,1.26018084,0.823357702,0.918425234,1.155559515,0.851669749,0.930628625,1.04667947,1.105998987,1.068058014,0.987151034
20,1.205650758,1.199930918,1.173486048,1.051719537,1.20722697,0.711011817,0.807147656,0.933535282,0.656847927,0.940979274,0.939448801,1.140772848,0.864711426,0.937669686